,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
0,ARI,27,28.6,4.59,85,77,0.525,4.25,162,162,162,0,11.0,0.0,45,1465.0,1400,743,691,220,516,38,1427,62,4,49,6230,105,4.4,1.308,8.6,1.4,3.2,8.8,2.77,1092,5.02,162,6315,5633,813,1419,288,40,220,778,88,14,540,1360,0.252,0.32299999999999995,0.434,0.757,94,2447,120,70,31,40,36,1119,0
1,ATL,32,27.5,4.59,97,65,0.599,4.19,162,162,161,1,8.0,0.0,44,1450.2,1421,743,675,203,548,33,1393,69,3,70,6243,111,4.39,1.357,8.8,1.3,3.4,8.6,2.54,1148,5.28,162,6302,5560,855,1432,277,29,249,824,89,28,619,1467,0.258,0.336,0.452,0.789,98,2514,104,60,25,35,39,1138,1
2,BAL,39,27.3,6.06,54,108,0.33299999999999996,5.59,162,162,162,0,5.0,0.0,27,1443.0,1544,981,897,305,561,11,1248,80,6,75,6396,83,5.56,1.459,9.6,1.9,3.5,7.8,2.22,1086,4.5,162,6189,5596,729,1379,252,25,213,698,84,30,462,1435,0.24600000000000002,0.31,0.415,0.725,91,2320,111,71,22,37,8,1063,0
3,BOS,28,29.0,5.11,84,78,0.519,4.7,162,162,161,1,8.0,1.0,33,1471.0,1423,828,768,215,605,22,1633,76,6,81,6400,103,4.28,1.379,8.7,1.3,3.7,10.0,2.7,1159,5.56,162,6475,5770,901,1554,345,27,245,857,68,30,590,1382,0.26899999999999996,0.34,0.466,0.8059999999999999,107,2688,127,49,20,44,36,1170,0
4,CHC,33,31.1,4.43,84,78,0.519,4.1,162,162,161,1,10.0,1.0,38,1442.0,1376,717,657,195,534,16,1444,80,1,60,6190,107,4.25,1.325,8.6,1.2,3.3,9.0,2.7,1147,5.02,162,6195,5461,814,1378,270,26,256,783,45,24,581,1460,0.252,0.331,0.452,0.7829999999999999,102,2468,127,83,30,39,33,1071,0
5,CHW,27,27.6,5.17,72,89,0.447,4.9,161,161,155,6,7.0,2.0,33,1412.2,1438,832,769,238,582,30,1312,51,5,71,6159,94,4.89,1.43,9.2,1.5,3.7,8.4,2.25,1089,4.4,161,6042,5529,708,1443,260,20,182,676,63,28,378,1549,0.261,0.314,0.414,0.728,93,2289,114,66,36,32,13,1071,0
6,CIN,26,28.2,4.39,75,87,0.46299999999999997,4.18,162,162,162,0,10.0,0.0,46,1438.0,1270,711,668,214,536,31,1552,58,8,35,6057,112,4.23,1.256,7.9,1.3,3.4,9.7,2.9,1032,4.33,162,6100,5450,701,1328,235,27,227,679,80,38,492,1436,0.244,0.315,0.42200000000000004,0.736,86,2298,111,89,30,33,25,1073,0
7,CLE,30,28.3,4.06,93,69,0.574,3.76,162,162,156,6,16.0,5.0,42,1437.2,1308,657,601,207,450,19,1508,62,2,42,6008,126,4.06,1.2229999999999999,8.2,1.3,2.8,9.4,3.35,1038,4.75,162,6124,5425,769,1354,286,18,223,731,103,35,563,1332,0.25,0.32299999999999995,0.43200000000000005,0.7559999999999999,95,2345,110,50,40,46,30,1072,0
8,COL,31,27.3,5.91,71,91,0.43799999999999994,5.56,162,162,161,1,5.0,1.0,28,1448.2,1576,958,895,270,589,33,1264,57,7,63,6423,94,5.23,1.494,9.8,1.7,3.7,7.9,2.15,1119,5.15,162,6288,5660,835,1502,323,41,224,803,71,31,489,1503,0.265,0.326,0.456,0.782,88,2579,111,43,51,43,25,1075,0
9,DET,32,27.8,5.68,47,114,0.292,5.24,161,161,161,0,3.0,0.0,31,1433.0,1555,915,835,250,536,24,1368,69,7,66,6341,91,4.84,1.459,9.8,1.6,3.4,8.6,2.55,1127,3.61,161,6039,5549,582,1333,292,41,149,556,57,20,391,1595,0.24,0.294,0.38799999999999996,0.682,78,2154,108,48,9,42,14,1069,0
10,HOU,26,29.9,3.95,107,55,0.66,3.66,162,162,160,2,14.0,1.0,47,1462.1,1205,640,595,230,448,0,1671,41,8,41,5995,127,3.98,1.13,7.4,1.4,2.8,10.3,3.73,968,5.68,162,6394,5613,920,1538,323,28,288,891,67,27,645,1166,0.27399999999999997,0.35200000000000004,0.495,0.848,119,2781,146,66,10,57,17,1168,1
11,KCR,30,27.9,5.36,59,103,0.364,5.2,162,162,161,1,7.0,1.0,37,1425.0,1525,869,824,221,582,25,1230,81,5,59,6307,92,4.9,1.479,9.6,1.4,3.7,7.8,2.11,1163,4.27,162,6080,5496,691,1356,281,40,162,655,117,39,456,1405,0.247,0.309,0.401,0.71,86,2203,113,59,24,42,17,1056,0
12,LAA,32,27.0,5.36,72,90,0.444,5.12,162,162,162,0,2.0,0.0,32,1442.2,1417,868,820,267,576,11,1404,82,9,98,6289,91,5.04,1.381,8.8,1.7,3.6,8.8,2.44,1093,4.75,162,6251,5542,769,1368,268,21,220,734,65,20,586,1276,0.247,0.324,0.42200000000000004,0.746,96,2338,143,67,4,42,29,1125,0
13,LAD,26,28.9,3.78,106,56,0.654,3.37,162,162,159,3,18.0,1.0,44,1445.2,1201,613,541,185,392,24,1519,66,7,40,5913,123,3.73,1.102,7.5,1.2,2.4,9.5,3.88,963,5.47,162,6282,5493,886,1414,302,20,279,861,57,10,607,1356,0.257,0.33799999999999997,0.47200000000000003,0.81,112,2593,100,81,55,45,47,1124,1
14,MIA,26,26.5,4.99,57,105,0.35200000000000004,4.74,162,162,160,2,8.0,2.0,27,1444.1,1340,808,760,236,615,52,1378,90,6,71,6247,91,4.89,1.354,8.3,1.5,3.8,8.6,2.24,1106,3.8,162,6045,5512,615,1326,265,18,146,593,55,30,395,1469,0.24100000000000002,0.298,0.375,0.6729999999999999,78,2065,139,73,31,33,16,1034,0
15,MIL,30,28.7,4.73,89,73,0.5489999999999999,4.4,162,162,162,0,7.0,0.0,50,1459.1,1364,766,713,225,570,28,1497,60,3,41,6251,102,4.46,1.325,8.4,1.4,3.5,9.2,2.63,1107,4.75,162,6309,5542,769,1366,279,17,250,744,101,25,629,1563,0.24600000000000002,0.32899999999999996,0.43799999999999994,0.767,97,2429,120,72,20,38,42,1180,1
16,MIN,31,28.2,4.65,101,61,0.623,4.18,162,162,161,1,10.0,0.0,50,1463.1,1456,754,680,198,452,10,1463,61,5,71,6246,109,4.02,1.304,9.0,1.2,2.8,9.0,3.24,1102,5.8,162,6392,5732,939,1547,318,23,307,906,28,21,525,1334,0.27,0.33799999999999997,0.494,0.8320000000000001,118,2832,101,81,10,41,21,1115,1
17,NYM,30,28.6,4.55,86,76,0.531,4.24,162,162,159,3,12.0,3.0,38,1461.0,1405,737,688,204,500,40,1520,60,2,47,6232,97,4.1,1.304,8.7,1.3,3.1,9.4,3.04,1112,4.88,162,6290,5624,791,1445,280,17,242,767,56,27,516,1384,0.257,0.32799999999999996,0.442,0.77,105,2485,129,95,28,27,34,1128,0
18,NYY,33,30.2,4.56,103,59,0.636,4.31,162,162,161,1,9.0,1.0,50,1443.0,1374,739,691,248,507,12,1534,44,5,55,6133,105,4.47,1.304,8.6,1.5,3.2,9.6,3.03,1065,5.82,162,6245,5583,943,1493,290,17,306,904,55,22,569,1437,0.267,0.33899999999999997,0.49,0.8290000000000001,117,2735,113,49,10,33,18,1039,1
19,OAK,28,30.8,4.2,97,65,0.599,3.97,162,162,161,1,12.0,1.0,45,1465.0,1342,680,646,201,477,19,1299,66,4,74,6153,108,4.34,1.242,8.2,1.2,2.9,8.0,2.72,1078,5.22,162,6270,5561,845,1384,292,23,257,800,49,21,578,1338,0.249,0.327,0.44799999999999995,0.7759999999999999,108,2493,140,87,7,36,17,1081,1
